user_id,client_id,total_amount,generation_age,gender,latitude,longitude,credit_score,credit_score_group
1379,1379,689061,silent generation,Male,42.58,-82.91,701,good
287,287,280639,gen X,Female,29.31,-95.01,710,good
554,554,669209,baby boomer,Male,29.66,-95.04,690,good
1642,1642,342713,millennials,Female,39.96,-74.06,731,good
1240,1240,336795,baby boomer,Female,40.26,-81.84,693,good
1503,1503,237669,baby boomer,Male,32.35,-86.28,725,good
616,616,93752,gen X,Female,32.19,-88.05,586,fair
689,,,baby boomer,Female,40.76,-74.23,709,good
1661,,,gen X,Female,39.09,-76.85,728,good
687,,,gen Z,Male,42.24,-84.4,725,good
915,,,gen X,Male,43.08,-76.37,728,good
995,,,gen X,Female,35.46,-97.51,592,fair
1637,,,millennials,Female,34.99,-80.86,687,good
436,,,gen Z,Female,40.32,-75.32,623,fair
1337,,,millennials,Male,27.27,-80.35,800,excellent
112,112,961928,gen X,Female,43.98,-75.6,686,good
814,814,402705,baby boomer,Male,27.98,-80.66,748,very good
1837,1837,362931,baby boomer,Female,33.97,-118.24,766,very good
1458,1458,265554,millennials,Male,30.06,-89.93,708,good
385,385,273695,silent generation,Male,32.23,-80.86,740,very good
699,699,246288,gen X,Male,41.48,-91.57,698,good
810,810,611625,silent generation,Female,37.68,-85.22,705,good
1173,1173,455920,baby boomer,Male,42.83,-106.32,722,good
401,401,397628,silent generation,Male,34.2,-118.39,806,excellent
1896,1896,385940,gen X,Female,41.91,-83.38,641,fair
771,771,275615,gen X,Male,42.33,-122.79,765,very good
696,696,836717,silent generation,Female,40.63,-73.72,766,very good
1693,1693,456150,millennials,Female,33.61,-111.89,702,good
1383,1383,700954,baby boomer,Female,42.39,-71.1,670,good
1404,1404,212407,gen X,Female,32.3,-95.47,526,poor
1228,1228,400149,gen X,Male,30.26,-97.74,726,good
1245,1245,346342,gen X,Female,37.43,-76.54,802,excellent
832,832,470857,gen X,Female,33.2,-96.65,625,fair
1493,1493,606705,millennials,Male,38.22,-122.55,765,very good
1282,1282,294621,millennials,Female,45.76,-108.57,695,good
1366,1366,256718,millennials,Female,30.33,-81.65,767,very good
647,647,110495,millennials,Female,36.52,-119.39,758,very good
670,,,gen Z,Female,42.31,-83.21,801,excellent
1655,,,baby boomer,Male,42.24,-83.18,830,excellent
1373,,,millennials,Female,41.07,-85.13,764,very good
1354,,,millennials,Male,35.46,-86.08,692,good
445,,,gen X,Female,43.88,-85.8,645,fair
593,,,gen Z,Male,40.52,-122.32,635,fair
158,,,millennials,Female,45.2,-122.06,747,very good
439,,,millennials,Female,41.47,-87.05,697,good
1822,,,silent generation,Female,27.09,-82.43,767,very good
276,,,gen Z,Male,27.53,-99.48,610,fair
1481,,,baby boomer,Male,37.78,-121.99,632,fair
1722,,,gen Z,Female,37.96,-121.26,600,fair
830,,,millennials,Female,29.99,-95.26,688,good
503,503,193858,gen X,Female,41.83,-87.68,694,good
1075,1075,696560,millennials,Female,38.22,-85.74,672,good
1269,1269,591186,baby boomer,Male,41.83,-87.68,676,good
1873,1873,838632,gen X,Female,31.84,-106.43,651,fair
1091,1091,419559,millennials,Female,39.3,-76.61,656,fair
366,366,469181,gen X,Female,44.01,-88.55,625,fair
1248,1248,348940,gen X,Female,42.68,-89.01,698,good
176,176,606779,gen X,Female,33.74,-84.31,667,fair
1142,1142,563453,gen X,Male,42.15,-71.13,716,good
1962,1962,583692,millennials,Male,41.8,-87.92,712,good
1058,1058,608095,baby boomer,Male,36.18,-87.34,684,good
1639,1639,986055,baby boomer,Male,42.12,-80.08,676,good
146,146,432111,gen X,Female,41.85,-88.3,717,good
820,820,653007,baby boomer,Female,41.7,-70.3,633,fair
1675,1675,499436,millennials,Male,47.14,-122.32,767,very good
227,227,657270,gen X,Male,44.96,-93.26,736,good
1569,1569,373975,baby boomer,Female,43.54,-96.73,722,good
64,64,551113,millennials,Female,34.0,-118.03,702,good
816,816,300284,baby boomer,Male,36.56,-82.19,759,very good
1971,1971,343573,gen X,Male,43.45,-76.5,763,very good
121,121,511328,millennials,Female,44.21,-88.43,721,good
42,42,223145,silent generation,Female,30.84,-83.27,684,good
320,320,323907,millennials,Male,32.22,-110.82,625,fair
1645,1645,353618,baby boomer,Female,41.47,-81.85,716,good
1003,1003,1004742,gen X,Male,40.2,-74.78,632,fair
86,86,132232,gen Z,Male,33.0,-81.3,799,very good
1502,,,gen Z,Male,39.1,-77.55,787,very good
1350,,,gen Z,Female,33.84,-118.07,651,fair
681,,,gen Z,Female,40.0,-76.84,654,fair
409,,,gen X,Female,42.49,-92.35,711,good
857,,,silent generation,Male,39.46,-74.99,615,fair
1085,,,millennials,Female,32.97,-117.02,838,excellent
1574,,,gen Z,Female,34.89,-77.54,746,very good
1784,,,gen X,Male,38.96,-90.18,690,good
1402,,,millennials,Male,34.72,-92.35,590,fair
1965,,,gen Z,Male,43.9,-123.02,745,very good
1839,,,baby boomer,Female,37.13,-85.96,631,fair
1953,,,millennials,Female,43.59,-88.28,842,excellent
698,,,baby boomer,Female,42.62,-73.83,699,good
730,,,gen X,Male,38.9,-94.68,713,good
1698,,,millennials,Male,40.87,-73.32,747,very good
685,,,gen Z,Male,44.26,-88.39,778,very good
1688,,,millennials,Female,37.16,-81.5,743,very good
1405,1405,626066,gen X,Male,47.91,-97.07,777,very good
1895,1895,367986,baby boomer,Female,39.75,-74.22,706,good
1916,1916,262043,silent generation,Male,30.65,-84.69,767,very good
1858,1858,185161,baby boomer,Male,34.25,-118.41,705,good
912,912,349041,gen X,Male,25.77,-80.2,755,very good
369,369,879256,millennials,Male,38.22,-85.74,788,very good
21,21,289794,gen X,Male,39.47,-87.38,850,excellent
246,246,631326,gen X,Female,44.96,-93.26,791,very good
1730,1730,229052,gen X,Female,40.71,-74.06,739,good
523,523,528710,millennials,Female,42.77,-86.1,773,very good
1489,,,baby boomer,Female,43.03,-71.07,691,good
1004,,,baby boomer,Male,37.2,-87.17,705,good
701,,,millennials,Female,27.75,-82.64,701,good
594,,,millennials,Male,35.88,-80.07,698,good
1351,,,gen Z,Female,61.14,-149.76,808,excellent
407,,,gen Z,Female,41.83,-87.68,750,very good
1801,,,gen Z,Female,33.29,-117.3,480,poor
607,,,millennials,Male,41.92,-87.81,771,very good
775,,,millennials,Male,34.17,-118.46,627,fair
725,,,gen Z,Male,42.35,-71.06,709,good
1869,,,millennials,Male,34.78,-86.95,702,good
1894,,,gen Z,Female,41.51,-93.48,790,very good
12,,,gen Z,Female,38.06,-78.9,748,very good
926,,,gen Z,Female,41.14,-81.36,776,very good
1205,,,gen Z,Male,32.32,-95.3,680,good
1774,1774,458894,gen X,Male,44.96,-93.26,758,very good
1618,1618,498036,gen X,Male,40.91,-73.82,682,good
33,33,520895,silent generation,Female,39.21,-119.71,596,fair
1028,1028,878240,gen X,Male,41.83,-87.68,682,good
1288,1288,501970,gen X,Female,38.47,-81.81,634,fair
252,252,540406,baby boomer,Male,40.58,-82.42,723,good
497,497,528126,baby boomer,Male,43.54,-96.73,850,excellent
1117,1117,1026859,gen X,Female,41.36,-97.97,687,good
772,772,183370,baby boomer,Female,45.47,-122.37,741,very good
1776,1776,1331712,gen X,Male,40.04,-82.12,693,good
247,247,1032587,gen X,Female,30.21,-93.2,761,very good
1243,1243,642801,millennials,Female,40.27,-76.88,705,good
1521,1521,210767,baby boomer,Female,32.75,-97.77,706,good
434,434,421162,millennials,Female,42.02,-93.62,785,very good
660,660,195900,millennials,Female,37.55,-77.46,680,good
1392,,,gen Z,Male,33.62,-112.05,743,very good
981,,,gen X,Male,34.23,-119.07,671,good
1068,,,gen Z,Male,35.1,-110.64,730,good
551,,,baby boomer,Male,39.14,-119.71,776,very good
1554,,,gen X,Male,41.68,-72.94,696,good
1186,,,gen X,Male,39.95,-75.16,577,poor
614,614,273805,silent generation,Female,35.4,-80.59,779,very good
1786,1786,357738,gen X,Female,40.83,-81.26,755,very good
580,580,549496,millennials,Male,40.55,-84.57,768,very good
1997,1997,592188,silent generation,Male,44.92,-93.4,758,very good
1659,1659,1014300,silent generation,Female,42.26,-88.13,782,very good
376,376,881765,gen X,Female,39.8,-74.62,773,very good
1163,1163,341029,gen X,Male,29.99,-95.26,489,poor
1253,1253,1106536,millennials,Female,41.44,-73.04,768,very good
855,855,181909,gen X,Male,32.32,-90.2,699,good
241,241,417681,baby boomer,Female,34.93,-79.76,737,good
802,802,553473,millennials,Female,38.74,-121.25,752,very good
1461,1461,301026,gen X,Female,41.24,-81.82,704,good
598,598,1113838,gen X,Male,44.22,-71.74,628,fair
949,949,588195,millennials,Female,40.45,-74.48,709,good
402,402,561623,gen X,Male,33.83,-83.89,744,very good
1568,1568,546539,gen X,Female,40.67,-73.39,748,very good
46,46,439077,baby boomer,Male,40.66,-73.84,632,fair
1959,1959,444875,gen X,Male,41.57,-81.2,701,good
1471,1471,317142,millennials,Male,35.1,-90.0,786,very good
1862,1862,116960,millennials,Female,41.57,-93.61,686,good
1199,,,millennials,Male,42.93,-75.38,720,good
969,,,gen Z,Female,33.81,-117.79,666,fair
143,,,gen Z,Female,41.55,-87.66,771,very good
498,,,gen Z,Male,20.88,-156.5,660,fair
1035,,,gen Z,Male,38.62,-121.32,701,good
1824,,,gen Z,Male,40.44,-86.91,838,excellent
834,,,gen Z,Male,33.95,-118.36,746,very good
49,,,millennials,Male,40.81,-81.93,686,good
1025,,,gen Z,Male,34.05,-79.75,664,fair
611,,,gen Z,Male,42.26,-88.0,758,very good
352,,,gen Z,Male,34.21,-119.18,680,good
1399,,,millennials,Male,32.08,-81.1,707,good
804,804,465271,baby boomer,Male,36.97,-86.44,812,excellent
1915,1915,894382,gen X,Male,41.32,-74.18,775,very good
650,650,208039,gen X,Male,32.75,-97.33,707,good
1382,1382,548861,baby boomer,Male,32.79,-96.76,706,good
360,360,415212,gen X,Male,39.22,-74.8,791,very good
758,758,214880,baby boomer,Male,34.09,-118.13,764,very good
300,300,401901,gen X,Male,41.36,-73.2,750,very good
351,351,269392,silent generation,Female,40.77,-73.84,807,excellent
1758,1758,370018,baby boomer,Male,32.32,-90.2,645,fair
1820,1820,215168,baby boomer,Female,25.77,-80.2,693,good
1534,1534,1071426,millennials,Male,39.9,-74.99,803,excellent
933,933,246813,gen X,Male,36.36,-96.03,690,good
1105,1105,756796,silent generation,Male,26.21,-98.31,670,good
1857,1857,718321,millennials,Male,40.77,-74.39,775,very good
1080,1080,332180,baby boomer,Female,32.19,-83.17,703,good
979,979,328196,baby boomer,Male,34.06,-117.79,693,good
1749,1749,156477,gen X,Female,42.39,-83.05,614,fair
305,305,238039,gen X,Male,44.37,-73.4,755,very good
1499,1499,150253,gen X,Male,41.97,-88.14,662,fair
1589,1589,129946,millennials,Female,34.02,-118.15,702,good
1833,1833,158721,millennials,Male,35.58,-88.5,743,very good
26,,,gen X,Female,40.68,-80.27,685,good
617,,,millennials,Female,38.03,-78.48,691,good
829,,,millennials,Female,35.36,-79.13,726,good
1160,,,millennials,Male,41.8,-80.06,688,good
179,,,millennials,Female,34.98,-80.54,652,fair
326,,,gen Z,Male,40.26,-80.18,652,fair
1272,,,millennials,Male,36.0,-115.04,779,very good
367,,,millennials,Female,41.52,-87.42,756,very good
838,,,millennials,Male,33.78,-84.44,763,very good
1922,,,silent generation,Male,32.85,-117.2,640,fair
562,,,millennials,Female,39.95,-104.9,673,good
781,,,millennials,Male,32.33,-106.75,602,fair
835,,,millennials,Male,29.79,-90.82,681,good
1287,,,millennials,Female,35.55,-77.05,545,poor
1667,,,gen Z,Male,34.82,-89.98,588,fair
1614,,,gen X,Female,35.48,-96.89,716,good
1532,,,millennials,Female,39.53,-79.01,759,very good
935,,,gen Z,Female,31.5,-82.85,728,good
1098,1098,1460001,gen X,Male,42.67,-95.3,752,very good
1456,1456,738564,gen X,Male,33.12,-89.05,681,good
1041,1041,339501,gen X,Female,34.87,-85.5,639,fair
1046,1046,437764,gen X,Male,39.95,-75.16,547,poor
1771,1771,487215,gen X,Male,38.76,-121.28,794,very good
1115,1115,698395,gen X,Male,32.32,-95.3,693,good
1376,1376,515551,gen X,Female,30.51,-97.83,543,poor
723,723,241596,baby boomer,Female,29.76,-95.38,828,excellent
1019,1019,416978,silent generation,Female,34.09,-117.96,713,good
1106,1106,304963,baby boomer,Female,34.13,-118.24,699,good
1094,1094,225669,millennials,Male,44.75,-85.6,712,good
697,697,350998,baby boomer,Female,35.72,-78.84,742,very good
1187,1187,191721,baby boomer,Male,44.78,-89.68,701,good
1016,1016,52390,gen X,Female,32.95,-117.19,719,good
1879,1879,203597,gen X,Male,35.66,-80.48,609,fair
988,988,404184,baby boomer,Male,29.91,-90.05,785,very good
144,144,456968,gen X,Female,34.5,-93.05,835,excellent
35,,,gen Z,Male,43.66,-70.25,773,very good
1319,,,gen Z,Female,38.2,-84.55,546,poor
1185,,,millennials,Female,33.95,-84.54,780,very good
1572,,,gen X,Female,30.68,-88.04,658,fair
1021,,,gen Z,Female,34.14,-117.85,751,very good
270,,,millennials,Male,39.02,-84.56,655,fair
347,,,millennials,Female,25.77,-80.2,557,poor
228,,,gen X,Female,28.55,-82.39,623,fair
1934,,,gen X,Female,34.0,-118.3,691,good
568,,,gen Z,Male,42.5,-94.17,778,very good
399,,,millennials,Female,42.35,-71.85,802,excellent
911,,,gen Z,Male,37.33,-88.07,757,very good
777,,,gen Z,Male,37.37,-122.21,700,good
1496,,,gen Z,Male,41.75,-70.61,713,good
529,,,baby boomer,Male,42.89,-70.87,721,good
1681,,,gen Z,Male,38.63,-90.24,746,very good
499,,,gen Z,Male,40.71,-73.99,742,very good
153,153,246073,silent generation,Female,35.29,-111.32,660,fair
1898,1898,523307,gen X,Male,32.35,-86.28,675,good
81,81,598038,baby boomer,Female,29.57,-97.96,723,good
1166,1166,399775,gen X,Female,39.39,-84.56,682,good
1755,1755,406655,gen X,Male,31.96,-83.77,734,good
156,156,295814,millennials,Female,34.08,-117.46,691,good
437,437,528610,gen X,Female,39.04,-76.49,718,good
87,87,357134,baby boomer,Male,26.13,-97.63,802,excellent
1619,1619,198879,millennials,Male,33.61,-96.6,747,very good
1140,1140,461277,gen X,Male,38.96,-95.25,703,good
751,751,440208,baby boomer,Female,33.45,-96.74,593,fair
1788,1788,377338,baby boomer,Female,29.71,-90.59,673,good
970,970,396646,gen X,Male,29.1,-81.0,770,very good
1466,1466,431177,millennials,Female,38.64,-75.61,812,excellent
403,403,227185,millennials,Male,32.15,-94.79,759,very good
837,837,238393,millennials,Male,39.15,-80.35,679,good
1577,1577,245703,gen X,Male,27.33,-82.54,718,good
1191,,,millennials,Female,45.19,-123.24,711,good
1182,,,millennials,Male,43.21,-75.47,658,fair
1738,,,millennials,Male,35.67,-97.41,696,good
1887,,,gen Z,Male,26.63,-81.85,503,poor
70,,,gen Z,Male,40.26,-76.71,635,fair
471,,,gen X,Male,38.57,-121.17,629,fair
959,,,millennials,Female,40.22,-74.93,738,good
404,,,gen X,Male,29.77,-82.48,625,fair
302,,,millennials,Female,38.41,-78.61,706,good
284,,,gen X,Male,33.44,-111.76,754,very good
904,,,millennials,Male,37.96,-76.51,759,very good
886,,,gen Z,Male,40.17,-74.91,726,good
6,,,gen Z,Female,32.88,-117.13,782,very good
394,394,662315,gen X,Male,41.09,-73.55,684,good
733,733,1028552,millennials,Male,31.49,-97.23,606,fair
789,789,373281,gen X,Female,39.59,-75.17,690,good
165,165,1245045,millennials,Male,37.83,-122.22,694,good
642,642,330619,millennials,Female,33.11,-94.16,648,fair
1853,1853,223700,millennials,Male,40.34,-94.87,771,very good
206,206,276858,millennials,Female,42.89,-85.72,782,very good
94,94,473021,baby boomer,Female,35.71,-81.15,593,fair
1983,1983,600415,gen X,Male,33.55,-117.78,773,very good
1772,1772,658639,gen X,Male,34.09,-117.58,761,very good
1807,1807,914032,gen X,Female,40.84,-73.87,828,excellent
1549,1549,396784,baby boomer,Male,29.76,-95.38,747,very good
458,458,355120,gen X,Male,33.63,-112.09,530,poor
145,145,141199,baby boomer,Female,36.18,-82.07,696,good
53,53,723101,gen X,Female,38.62,-120.62,701,good
1595,1595,1316541,gen X,Female,40.84,-73.87,753,very good
744,744,317312,baby boomer,Female,25.77,-80.2,842,excellent
1531,1531,196940,millennials,Male,34.47,-85.34,792,very good
313,313,236856,millennials,Female,36.73,-95.94,693,good
1793,1793,105826,millennials,Male,34.77,-89.44,825,excellent
518,,,millennials,Male,44.06,-70.39,523,poor
1333,,,gen Z,Male,27.75,-82.64,741,very good
956,,,millennials,Female,39.98,-82.98,804,excellent
288,,,gen X,Female,33.17,-90.48,789,very good
682,,,baby boomer,Male,40.69,-111.99,724,good
378,,,gen Z,Female,46.21,-119.16,596,fair
1864,,,gen Z,Male,42.79,-73.67,701,good
344,,,gen Z,Male,34.22,-118.59,577,poor
916,,,gen Z,Male,36.04,-86.64,682,good
1310,,,millennials,Female,33.92,-78.02,751,very good
557,557,625674,baby boomer,Male,33.97,-118.35,669,fair
1229,1229,517223,gen X,Male,35.18,-79.46,713,good
1635,1635,275456,gen X,Male,40.68,-73.78,616,fair
1407,1407,889254,gen X,Male,33.43,-86.99,689,good
566,566,628043,baby boomer,Female,42.79,-83.62,814,excellent
1710,1710,311192,millennials,Female,43.54,-89.46,787,very good
169,169,105698,silent generation,Male,33.94,-80.39,686,good
124,124,213273,millennials,Female,34.6,-98.42,680,good
918,918,331782,gen X,Female,40.32,-80.21,703,good
1998,1998,74774,baby boomer,Male,37.56,-122.37,688,good
760,760,496658,baby boomer,Female,39.98,-82.98,778,very good
1815,1815,456436,baby boomer,Female,41.82,-71.41,758,very good
457,457,647693,millennials,Female,35.19,-80.83,705,good
1802,1802,1344930,millennials,Female,40.34,-74.44,802,excellent
502,502,687914,gen X,Male,40.93,-79.59,745,very good
473,473,148206,millennials,Female,42.38,-83.1,682,good
1230,,,gen Z,Male,32.3,-80.92,754,very good
255,,,gen Z,Female,29.79,-95.82,718,good
880,,,millennials,Male,48.95,-122.43,685,good
1013,,,gen Z,Female,38.99,-105.05,711,good
1708,,,gen Z,Male,37.48,-97.24,850,excellent
578,,,silent generation,Male,38.04,-84.45,777,very good
1732,,,gen X,Female,37.77,-122.21,637,fair
591,,,gen X,Male,34.97,-89.99,696,good
1051,,,millennials,Female,41.7,-71.42,694,good
492,,,gen X,Male,34.95,-82.12,850,excellent
501,,,gen Z,Male,30.68,-88.04,765,very good
902,,,millennials,Male,33.15,-117.17,635,fair
1952,,,millennials,Female,27.75,-82.64,821,excellent
140,140,287202,millennials,Female,36.28,-86.83,739,good
397,397,174895,millennials,Female,39.95,-75.16,770,very good
1512,1512,413798,gen X,Male,39.77,-86.14,778,very good
1081,1081,793494,millennials,Female,39.69,-104.81,617,fair
1406,1406,160751,millennials,Male,36.12,-95.91,712,good
1463,1463,602425,silent generation,Female,42.15,-74.53,732,good
1490,1490,350187,millennials,Female,39.86,-104.86,761,very good
142,142,793095,baby boomer,Female,41.9,-72.08,675,good
1977,1977,324094,gen X,Female,41.5,-87.5,773,very good
110,110,410111,gen X,Female,30.26,-97.74,737,good
900,900,311718,millennials,Male,30.17,-85.67,735,good
1674,1674,165002,baby boomer,Male,35.49,-90.35,712,good
1429,1429,277696,baby boomer,Female,39.76,-104.87,799,very good
58,58,361525,millennials,Female,38.81,-90.96,706,good
1494,1494,97951,millennials,Male,26.14,-80.13,711,good
1231,,,millennials,Female,26.41,-81.42,842,excellent
925,,,millennials,Male,38.76,-89.97,610,fair
836,,,gen Z,Male,34.09,-117.96,689,good
1409,,,gen Z,Male,42.77,-86.1,701,good
1386,,,baby boomer,Male,41.39,-84.12,712,good
903,,,millennials,Male,41.38,-72.85,717,good
1071,,,millennials,Male,44.07,-103.23,838,excellent
1001,,,gen Z,Male,36.56,-82.19,716,good
1608,,,gen Z,Female,31.85,-102.36,572,poor
297,,,gen Z,Male,37.91,-76.47,738,good
1547,,,millennials,Male,43.54,-89.46,684,good
881,,,baby boomer,Female,39.85,-75.18,696,good
188,,,gen Z,Male,38.85,-77.29,845,excellent
465,465,223892,gen X,Male,34.42,-84.11,724,good
222,222,623608,gen X,Female,33.76,-84.33,714,good
795,795,910466,gen X,Female,32.79,-96.76,759,very good
357,357,470383,baby boomer,Female,42.35,-71.06,735,good
425,425,751480,millennials,Male,36.46,-121.82,688,good
552,552,640574,gen X,Male,29.67,-82.33,602,fair
1797,1797,1353155,baby boomer,Male,37.71,-122.16,743,very good
303,303,1304663,silent generation,Male,40.48,-104.9,690,good
811,811,811047,silent generation,Female,38.9,-94.68,741,very good
1603,1603,324485,gen X,Male,44.65,-114.15,762,very good
1678,1678,405900,millennials,Male,41.7,-72.67,685,good
1298,1298,190761,millennials,Female,34.01,-118.2,729,good
452,452,799652,millennials,Male,29.76,-95.38,704,good
801,801,230986,silent generation,Female,32.73,-101.95,723,good
1888,1888,1435860,silent generation,Female,44.65,-93.17,748,very good
1564,1564,236274,millennials,Male,35.2,-101.81,683,good
1313,1313,539338,millennials,Male,40.61,-79.83,653,fair
1195,1195,611235,silent generation,Male,44.01,-92.47,801,excellent
1251,1251,316405,millennials,Female,32.84,-116.88,750,very good
1697,1697,278649,baby boomer,Male,42.06,-83.97,685,good
1563,1563,396059,gen X,Female,33.96,-118.27,683,good
939,939,293543,silent generation,Female,40.04,-76.3,696,good
1293,1293,924320,millennials,Female,29.45,-95.06,706,good
1047,1047,500950,millennials,Male,37.55,-77.46,689,good
1167,,,gen X,Female,40.33,-75.92,769,very good
1673,,,gen X,Male,43.46,-85.95,772,very good
1438,,,millennials,Female,41.47,-81.67,700,good
413,,,gen Z,Male,33.86,-84.68,660,fair
818,,,gen X,Female,27.98,-80.66,770,very good
192,,,millennials,Male,38.65,-121.25,761,very good
735,,,gen X,Female,47.79,-122.2,752,very good
1037,,,millennials,Male,29.67,-82.33,653,fair
1716,,,gen Z,Female,32.21,-98.67,746,very good
1321,,,gen X,Female,40.26,-103.79,696,good
1010,,,gen X,Female,34.17,-82.02,548,poor
1611,,,baby boomer,Female,33.87,-78.63,684,good
1277,,,millennials,Male,43.1,-76.21,692,good
1663,,,gen Z,Male,41.83,-87.68,581,fair
1907,,,millennials,Female,22.21,-159.41,666,fair
36,,,millennials,Male,37.23,-80.42,722,good
1209,1209,1047700,gen X,Female,40.94,-73.86,699,good
1487,1487,1141198,baby boomer,Female,40.69,-80.01,727,good
1694,1694,580716,silent generation,Female,41.09,-73.55,726,good
96,96,2445601,baby boomer,Female,33.89,-117.78,685,good
1088,1088,349093,gen X,Female,32.78,-79.99,765,very good
208,208,1191548,millennials,Female,47.79,-122.2,804,excellent
644,644,215605,baby boomer,Female,34.42,-84.11,741,very good
