card_id,client_id,card_type
2477,1852,Credit
2632,1852,Credit
1463,1231,Debit
5679,970,Debit
1012,970,Credit
1464,970,Credit
1465,381,Credit
388,1134,Credit
3708,1296,Debit
3087,1296,Credit
67,1296,Credit
80,1296,Debit (Prepaid)
3665,1296,Debit
2014,1880,Debit
4906,1880,Debit
3757,1880,Credit
5365,322,Credit
5425,322,Debit
5758,322,Debit
5482,461,Debit
3172,461,Debit
1209,461,Debit
5313,461,Debit
4762,1165,Debit
126,1448,Credit
4685,1448,Debit
5907,1448,Credit
2428,1288,Debit
1013,1288,Debit
5145,1178,Debit
5854,1178,Debit
5296,1178,Debit
1327,1178,Debit
383,1178,Debit
5129,1391,Debit
5995,1391,Debit (Prepaid)
4107,1391,Debit
36,1391,Debit
445,838,Credit
1466,54,Debit
749,54,Debit
1772,54,Debit (Prepaid)
3801,1452,Debit
282,1602,Credit
6105,1602,Credit
446,1938,Debit
422,1938,Credit
5231,1492,Debit
2615,1492,Debit (Prepaid)
2776,1492,Credit
5452,1492,Debit
3563,1492,Debit
6134,1492,Debit
4818,1492,Credit
2171,1492,Debit (Prepaid)
6106,688,Debit
3042,688,Debit
5209,688,Credit
1296,688,Credit
389,749,Credit
1773,749,Debit
1467,749,Credit
1395,643,Credit
5597,643,Credit
1468,1219,Debit
2309,1219,Credit
3466,1219,Debit
2804,1198,Debit
1388,1198,Credit
4660,898,Debit
3356,898,Debit
4870,898,Credit
3467,882,Debit
1079,882,Debit
2977,348,Debit
3073,348,Credit
3554,348,Credit
2597,633,Debit
3489,1493,Credit
4003,1493,Credit
1469,1493,Credit
1774,1493,Debit
1470,1161,Credit
1471,1161,Debit
2691,217,Debit
174,217,Debit
1364,217,Debit
1266,217,Credit
1267,217,Debit
207,217,Credit
5448,217,Credit
5449,1877,Credit
2107,1877,Debit
2398,1877,Debit
5414,1877,Credit
3758,668,Debit
4097,668,Debit
5778,668,Debit
4318,668,Credit
5015,668,Debit
750,533,Debit
242,203,Credit
3966,203,Credit
5375,203,Credit
5166,1738,Credit
1472,1738,Credit
751,1738,Debit
5623,1738,Credit
6099,713,Debit
1473,713,Debit
1775,713,Credit
447,713,Debit
1474,1631,Credit
1776,1631,Credit
448,1631,Credit
5978,1487,Debit
2978,1487,Debit
4946,1487,Credit
1475,1265,Debit
5376,370,Debit
4127,370,Debit
5093,370,Debit
3490,370,Debit
5702,1014,Debit
2200,1014,Credit
5436,1014,Debit (Prepaid)
449,290,Debit
1777,290,Debit
3862,985,Credit
1268,985,Credit
752,985,Debit
2704,985,Credit
2808,135,Debit
4791,135,Debit
1476,307,Debit
753,307,Credit
4112,1783,Credit
1154,1783,Credit
2598,1783,Credit
10,1783,Debit
4655,1783,Credit
5908,1321,Debit
3357,1511,Debit
5502,1511,Debit
1238,900,Debit (Prepaid)
3412,900,Credit
1477,953,Debit
1396,953,Credit
1297,233,Credit
3605,406,Credit
5167,1069,Debit
3922,1069,Credit
5453,180,Credit
2888,180,Credit
3208,996,Credit
4661,996,Debit
3277,996,Debit
1107,996,Credit
3310,996,Debit
1279,996,Debit
1778,1866,Debit
1478,1866,Debit
2108,1981,Debit
5143,1981,Credit
4151,1981,Credit
3606,1981,Debit
3248,1981,Debit
2996,1981,Debit
4,1981,Debit
3257,870,Debit
3626,870,Credit
1039,870,Debit
2080,16,Debit (Prepaid)
49,16,Debit
4964,16,Debit
4093,16,Debit
2979,16,Credit
3513,46,Debit
3732,46,Debit (Prepaid)
2925,46,Debit
1167,46,Debit (Prepaid)
450,800,Debit
2759,800,Debit
1779,800,Debit (Prepaid)
754,800,Debit
1479,1968,Debit (Prepaid)
1298,697,Debit
3640,697,Debit
3074,697,Debit
4239,1269,Debit
4147,1269,Credit
3075,1782,Debit
4289,1782,Debit
2172,1782,Debit
5366,1977,Credit
2673,1977,Debit (Prepaid)
965,1977,Debit
4763,1734,Debit
451,1734,Debit
3300,1913,Debit
5226,1913,Credit
5477,1913,Credit
5877,1913,Credit
3084,1913,Credit
13,858,Credit
4735,858,Credit
2633,858,Debit (Prepaid)
4173,606,Debit
5925,1564,Credit
4240,1564,Credit
3514,1564,Debit
1480,1109,Debit
3136,1301,Debit
755,1301,Debit
2787,1301,Debit
4435,1301,Debit
378,1301,Debit
3189,1301,Debit
3595,1301,Debit
1481,1301,Debit
390,1301,Credit
4065,1399,Debit
756,1399,Debit (Prepaid)
1482,1399,Credit
452,1399,Debit
5743,1775,Debit
344,1775,Debit
423,1775,Credit
5542,1673,Debit
2777,1673,Debit
5598,1673,Debit
3759,1957,Debit (Prepaid)
5483,1957,Credit
453,1033,Debit
454,1033,Debit
3564,1024,Debit
4241,1024,Debit
5268,1024,Debit
1006,1024,Credit
2825,1441,Debit
1007,1441,Debit (Prepaid)
4792,1441,Credit
2599,1103,Debit
4984,1103,Credit
2895,1103,Debit
455,431,Debit
456,431,Debit
1483,431,Debit
3378,165,Debit (Prepaid)
5146,165,Debit
2559,165,Debit
1484,353,Debit
5328,353,Debit (Prepaid)
2154,1758,Debit
4686,1758,Debit
3440,1758,Debit
2674,1758,Credit
2478,1266,Debit
457,1943,Debit (Prepaid)
458,1943,Debit
757,1943,Credit
1485,792,Debit
3491,792,Debit (Prepaid)
3249,1055,Debit
459,1159,Debit
1780,1159,Credit
460,1159,Debit
758,1159,Debit (Prepaid)
5484,1115,Credit
2809,1115,Credit
6138,1115,Debit
374,1115,Debit
4225,1115,Debit (Prepaid)
1014,1115,Debit
2526,38,Debit
1352,1027,Debit
5543,1027,Credit
3671,1027,Debit
5503,11,Credit
2096,11,Debit (Prepaid)
243,11,Debit
18,11,Credit
1336,11,Debit
189,11,Credit
2910,871,Credit
2081,871,Debit
2082,871,Credit
5336,871,Debit
3831,871,Credit
5645,871,Debit (Prepaid)
958,746,Credit
3043,746,Debit (Prepaid)
2319,746,Credit
3492,746,Credit
108,1520,Credit
3329,1520,Debit
2956,1520,Debit
4033,1520,Credit
2715,1520,Debit (Prepaid)
2655,1372,Debit
1781,1372,Credit
5909,1799,Debit
3076,1799,Debit
4595,1799,Debit (Prepaid)
1782,1799,Debit
4806,1905,Credit
3902,1905,Credit
2127,1905,Credit
5807,1905,Debit
1486,130,Debit (Prepaid)
3785,130,Credit
6020,130,Debit
2468,130,Credit
1783,1990,Credit
1487,1990,Debit
461,593,Credit
1488,540,Debit
2997,1155,Debit
4596,1155,Debit
5784,1155,Credit
4319,1155,Debit
1328,1155,Credit
5941,663,Debit
2173,663,Debit (Prepaid)
975,663,Debit
4831,663,Credit
5926,663,Debit
3358,1987,Credit
3668,1987,Credit
3209,1484,Credit
5058,1484,Debit
2527,1484,Debit
4242,1484,Debit
2733,1484,Credit
4764,1484,Debit
462,417,Credit
1784,298,Debit
463,306,Debit
464,306,Debit
1785,607,Credit
1489,607,Credit
759,607,Debit
1786,607,Credit
6100,607,Debit
3981,1769,Debit
375,1769,Credit
295,1769,Debit (Prepaid)
5599,1769,Debit
43,1769,Credit
5820,698,Debit
2332,698,Debit
1490,698,Debit
2286,896,Debit
3882,1975,Debit
4336,1975,Credit
5957,1975,Credit
267,645,Debit
5094,645,Debit
2469,645,Debit
68,645,Debit
3703,645,Debit
5600,227,Debit
4886,227,Debit
2512,227,Debit
5867,227,Credit
5750,84,Debit
2580,84,Credit
3417,84,Debit
3543,1684,Debit
94,1684,Debit
2723,1684,Debit
3278,1684,Credit
2140,1684,Debit (Prepaid)
1491,745,Credit
5646,1508,Debit (Prepaid)
1108,1508,Credit
3508,1508,Credit
3279,1508,Debit
3617,1158,Credit
1329,1158,Debit
3946,1427,Debit
465,352,Debit
466,352,Debit
1492,1948,Credit
760,1948,Credit
761,1948,Debit
5624,724,Credit
2656,724,Credit
2876,724,Debit
5868,724,Credit
5996,543,Credit
4320,543,Debit
4708,543,Debit
2920,1559,Credit
5797,1559,Debit
3301,1559,Debit
1787,1199,Credit
762,1199,Debit
467,1745,Debit
1788,1745,Debit
1789,1745,Debit
5028,1950,Debit
328,1950,Credit
4374,1950,Debit
1312,1950,Debit
5730,1950,Debit
763,1397,Debit (Prepaid)
2957,1397,Debit
3627,1397,Credit
3044,1397,Credit
5401,873,Debit
3205,873,Debit
1269,873,Debit
20,1728,Credit
3493,1728,Credit
153,1728,Debit
4422,1728,Credit
223,299,Debit
2756,299,Credit
208,299,Debit
468,299,Debit
764,299,Credit
4414,1742,Debit
1155,1742,Credit
5869,1742,Debit (Prepaid)
4559,1742,Debit
2005,1004,Debit
345,1004,Debit
3672,1004,Debit
3742,301,Credit
1493,1011,Debit
4915,906,Debit
1190,906,Credit
5095,906,Credit
2409,906,Credit
3760,906,Debit
2174,906,Debit (Prepaid)
4756,110,Credit
3240,110,Debit
5189,110,Debit
4103,110,Debit
2547,1073,Debit
4436,1073,Debit (Prepaid)
4597,705,Debit (Prepaid)
5359,705,Credit
3311,820,Debit (Prepaid)
5040,820,Credit
127,820,Debit
3224,820,Credit
469,820,Credit
470,1188,Debit (Prepaid)
4548,1128,Debit
4765,1128,Credit
4583,1128,Credit
4316,1128,Credit
3144,1128,Credit
1139,1479,Credit
6128,1594,Credit
3241,1594,Debit
3565,1594,Debit
5029,1485,Debit
4298,1485,Debit (Prepaid)
3819,1485,Debit
4736,1485,Debit
88,1390,Credit
3359,1390,Credit
5269,1390,Debit
2657,644,Credit
5020,1912,Debit
3544,1584,Debit
6038,1584,Debit
1494,1803,Debit
1790,1824,Debit
1791,1824,Debit (Prepaid)
5721,1824,Debit
471,340,Debit (Prepaid)
4922,650,Debit
3669,650,Debit
3717,650,Credit
5580,650,Debit (Prepaid)
3494,650,Credit
3837,650,Debit (Prepaid)
1080,762,Debit
472,1061,Debit
5356,1931,Debit
3530,1931,Credit
4199,702,Credit
3863,702,Debit (Prepaid)
2258,702,Credit
4096,702,Debit (Prepaid)
2175,918,Debit
2734,918,Debit
3202,1137,Credit
3718,1137,Debit
3688,1137,Credit
765,66,Debit
1792,66,Debit
6136,66,Debit
391,66,Credit
2743,1406,Debit
3883,1406,Credit
5186,437,Credit
5454,437,Debit
3271,437,Debit
1495,806,Debit
1496,806,Credit
766,806,Debit
3566,891,Debit
2141,891,Debit
5096,891,Credit
4321,891,Debit
4649,891,Debit
767,1191,Debit
365,701,Credit
2042,1147,Debit
3924,1147,Credit
1497,1625,Debit (Prepaid)
2557,1664,Credit
2273,1664,Credit
5544,1664,Credit
5147,1664,Debit
1498,1273,Credit
154,1009,Credit
4709,1009,Debit
5601,1009,Debit
1008,1341,Credit
4766,1341,Credit
4394,1341,Debit
4098,1341,Debit
1499,925,Debit (Prepaid)
768,824,Credit
5958,824,Debit
473,824,Debit
3838,824,Debit
5074,563,Debit
2097,563,Debit
1060,563,Credit
4054,563,Credit
2760,563,Debit
2864,563,Debit (Prepaid)
5485,1612,Credit
2581,1700,Credit
474,963,Debit
1500,963,Debit
1353,963,Credit
475,904,Credit
2297,1586,Credit
6051,1586,Credit
1122,1586,Credit
1365,1586,Debit
5168,1286,Debit
5798,1286,Debit
5518,719,Debit
6021,719,Credit
4075,719,Credit
769,1469,Debit (Prepaid)
770,930,Debit
1501,930,Credit
2761,1814,Debit
4375,1814,Debit (Prepaid)
1040,1814,Credit
2298,1723,Debit (Prepaid)
4099,1723,Debit
2479,1723,Debit
1502,1377,Debit
4598,1377,Debit
1793,1377,Debit (Prepaid)
5097,470,Credit
2896,470,Debit
3733,470,Debit
1794,1804,Credit
476,1804,Debit
1795,1804,Debit
771,1804,Credit
1503,229,Credit
2683,229,Debit
1504,229,Debit (Prepaid)
1796,229,Debit
5942,229,Credit
4139,1512,Debit
4923,1512,Debit (Prepaid)
95,1512,Debit (Prepaid)
2582,1512,Credit
5049,1512,Debit
5190,1512,Debit
976,1512,Debit
3689,1512,Debit
4425,1543,Debit
4687,1543,Debit
4473,1543,Debit
3864,1543,Credit
424,147,Credit
3013,147,Debit
772,147,Credit
2634,147,Credit
1109,1941,Credit
2940,1941,Debit (Prepaid)
2030,1941,Debit
2031,901,Debit (Prepaid)
3729,901,Credit
4152,901,Debit
773,191,Debit
477,12,Debit
2782,1828,Debit
3090,1828,Debit
2783,29,Credit
3045,29,Debit
4477,181,Credit
1061,995,Debit
1505,1218,Debit
3302,186,Credit
4490,171,Debit (Prepaid)
3704,171,Debit
1239,171,Debit
774,1401,Credit
1506,1401,Debit
2911,1314,Credit
1081,1314,Debit
2359,1314,Credit
1140,1314,Debit
3162,1314,Debit
5455,1560,Credit
2767,1560,Debit
2528,1560,Credit
1507,1560,Credit
5769,1560,Credit
2501,1560,Credit
2635,613,Debit
775,613,Debit
3799,613,Credit
1191,613,Debit
2176,346,Debit
2440,346,Debit
192,346,Credit
3379,346,Debit (Prepaid)
5927,346,Credit
4115,346,Credit
2778,346,Debit
5256,812,Credit
4862,13,Credit
2109,13,Credit
2941,13,Debit
4270,13,Debit (Prepaid)
4165,602,Debit
6084,602,Debit
5979,602,Debit
3982,602,Credit
346,657,Debit
2420,657,Debit
4013,657,Debit
4662,657,Debit
155,909,Debit (Prepaid)
3719,909,Debit
4663,909,Debit
5232,909,Debit
2583,909,Debit
1508,183,Credit
1797,183,Debit
1798,183,Credit
478,1792,Debit
1440,1792,Credit
5744,1599,Credit
776,1599,Debit
777,1599,Debit
44,1267,Debit
4299,1267,Debit (Prepaid)
3926,1267,Debit
3802,1267,Debit
1509,411,Debit
4832,411,Debit (Prepaid)
5021,350,Debit
3709,350,Debit
2865,350,Credit
3623,350,Debit
479,1323,Debit
318,1323,Credit
3993,1323,Debit
2980,1323,Debit
1799,934,Credit
1800,934,Credit
480,934,Debit
4389,421,Debit
6101,421,Debit
5560,421,Debit
1510,421,Debit
2177,421,Credit
4153,421,Debit
5075,421,Debit
4080,223,Debit (Prepaid)
2926,223,Credit
2636,223,Debit
5682,223,Credit
268,223,Credit
2167,223,Credit
481,1402,Debit
296,1402,Credit
2299,1402,Debit
482,1650,Debit
483,1650,Credit
1801,1650,Credit
3657,354,Debit
1168,354,Debit
2924,354,Credit
4518,354,Debit
4902,354,Credit
3168,354,Debit
4907,314,Credit
1511,1457,Credit
1512,1457,Debit
484,1457,Debit
1513,1457,Credit
5519,1613,Credit
4549,1613,Debit
4538,1613,Debit (Prepaid)
1802,1613,Debit
485,945,Credit
1397,945,Credit
3983,586,Credit
1514,586,Debit (Prepaid)
1515,586,Debit
3124,586,Debit
5928,119,Debit
5980,119,Credit
379,119,Debit
3014,1312,Debit
1156,1529,Debit
3927,1529,Debit
4985,1529,Debit
1803,326,Debit
2326,1596,Debit
21,1596,Credit
995,1596,Credit
2637,1596,Debit (Prepaid)
2958,714,Debit (Prepaid)
2616,714,Debit (Prepaid)
3720,887,Debit
1024,887,Credit
4875,887,Credit
5997,887,Credit
4006,1425,Debit (Prepaid)
1141,1425,Credit
2600,1425,Debit (Prepaid)
2851,1425,Credit
3835,1425,Credit
1015,1425,Debit (Prepaid)
5929,1425,Debit
5386,1425,Debit
1047,1645,Debit (Prepaid)
5878,1645,Debit
778,1645,Debit
2213,1863,Debit
5855,1576,Debit (Prepaid)
5821,1576,Debit (Prepaid)
486,1576,Debit
2480,1576,Debit (Prepaid)
5169,1576,Debit
5248,1576,Debit
380,1576,Debit
2441,1576,Debit
2658,1268,Credit
4965,1268,Debit
5520,1268,Debit
1804,1268,Debit
3820,1565,Credit
3743,1842,Debit
5426,1842,Credit
1516,664,Debit
1805,664,Credit
4154,485,Credit
1517,485,Debit
1082,244,Credit
5953,244,Credit
5521,145,Credit
3575,145,Credit
4058,145,Debit
2110,866,Debit
1806,866,Debit
3337,866,Credit
4710,1424,Credit
4876,1424,Debit (Prepaid)
487,1424,Debit
3046,1424,Credit
5625,427,Debit
269,427,Debit (Prepaid)
4819,427,Debit
5210,684,Debit
3088,684,Credit
2768,684,Debit
6022,684,Debit
4474,684,Debit (Prepaid)
4908,684,Debit
334,684,Debit
488,1643,Debit (Prepaid)
1337,1300,Debit
2601,1300,Debit (Prepaid)
156,1300,Credit
5754,1300,Debit
1518,283,Credit
779,283,Credit
1519,355,Debit
1387,355,Credit
3303,1669,Debit
4359,1669,Credit
2456,1669,Credit
6097,1669,Credit
4664,937,Debit
2055,845,Debit
4599,845,Debit
5943,845,Credit
2855,845,Debit
4491,845,Debit
1204,1518,Credit
6083,1518,Credit
2584,1518,Credit
2056,1591,Debit (Prepaid)
489,1591,Debit
2043,1591,Debit
5919,1591,Credit
2847,1591,Credit
3967,1591,Debit
1520,1172,Credit
4290,1629,Debit
5249,675,Credit
4454,675,Credit
4020,675,Debit
5261,675,Debit
5250,675,Credit
3116,577,Debit
2627,577,Credit
302,854,Debit
4121,1261,Debit
3515,1227,Debit (Prepaid)
122,1227,Credit
3545,1227,Credit
2310,1227,Debit
5602,840,Debit
2083,840,Debit
37,840,Debit
2416,840,Debit
3633,840,Credit
4992,840,Debit (Prepaid)
3091,733,Debit
2529,733,Credit
3707,733,Credit
1048,733,Debit
2098,454,Debit
4767,454,Debit
5735,454,Debit
5456,454,Debit
5287,454,Debit
2201,961,Debit
4584,961,Credit
1389,961,Debit
2202,961,Debit
4665,768,Debit
490,817,Debit
491,817,Debit
5910,78,Debit (Prepaid)
1157,1334,Debit
2866,1334,Credit
3761,1334,Credit
209,1334,Credit
3968,1610,Debit
5879,1610,Credit
2585,108,Debit
1299,108,Debit
4070,108,Debit
780,108,Debit
4972,1308,Credit
6023,780,Debit (Prepaid)
1375,1340,Debit
3272,1340,Debit
2954,1340,Credit
2178,1340,Debit (Prepaid)
6035,1340,Credit
1016,1888,Debit
1017,1888,Debit
1169,1888,Debit
2179,247,Credit
1240,247,Debit
4155,247,Debit
5191,247,Debit
2137,247,Credit
2084,247,Debit
781,238,Credit
3762,915,Debit
492,1927,Debit (Prepaid)
5647,1927,Debit
493,1658,Debit
782,1658,Credit
1170,1208,Debit
2203,1208,Debit
2449,1208,Debit
494,1255,Debit
1521,1255,Debit
495,85,Debit
3923,1382,Credit
2838,1382,Debit
5262,1382,Credit
1110,1382,Debit (Prepaid)
1522,1932,Debit
1210,1217,Debit
5030,1217,Credit
4086,1217,Debit
1123,514,Credit
2155,514,Debit
5759,514,Debit
4322,514,Debit
5959,232,Debit
2214,232,Debit (Prepaid)
3125,232,Debit
4174,445,Debit
1807,1206,Debit
244,1206,Debit
194,1206,Credit
4469,1276,Debit
5076,1276,Credit
996,1276,Debit
5954,1276,Credit
2009,1276,Credit
193,875,Credit
3495,875,Credit
2380,875,Debit
496,875,Debit
2684,1546,Debit
245,1546,Debit
5504,1546,Credit
6024,1546,Debit (Prepaid)
497,422,Debit (Prepaid)
1523,422,Debit
498,422,Credit
1441,422,Credit
3380,519,Debit
4390,519,Debit (Prepaid)
3555,519,Debit (Prepaid)
3173,519,Debit
2867,1408,Debit
5522,1408,Debit
3821,1204,Debit
2788,1204,Debit
210,1204,Debit
783,276,Debit
1524,276,Debit
392,1133,Credit
5211,1133,Debit
2586,1133,Debit
195,1133,Debit (Prepaid)
784,1035,Debit
1808,1035,Debit (Prepaid)
4688,710,Debit (Prepaid)
3155,710,Credit
4395,710,Debit
5233,582,Debit
2010,582,Debit
3634,582,Credit
5880,821,Debit
6131,821,Credit
59,1352,Debit
2403,1352,Debit
5355,1352,Debit
3286,831,Credit
4156,831,Debit
499,936,Debit
785,936,Debit (Prepaid)
1525,936,Debit
425,936,Credit
1809,936,Credit
3312,578,Debit
4807,1997,Debit
5786,1997,Credit
3343,1997,Debit
2481,1997,Debit
5106,1997,Debit
5457,1997,Debit
5808,1997,Debit
1378,258,Debit
3197,258,Debit
500,258,Debit
2912,851,Debit
4243,851,Debit (Prepaid)
3613,851,Credit
1241,851,Credit
4148,1951,Credit
4157,1951,Debit
3360,1951,Debit
1142,1951,Debit
3188,1951,Credit
501,1978,Debit
1526,1978,Debit
4948,1897,Debit
3690,1897,Debit (Prepaid)
4337,972,Credit
6052,972,Credit
4166,972,Debit
5689,972,Credit
2482,1010,Debit
3047,1243,Credit
3884,1243,Debit
3928,1243,Debit
1527,1243,Debit
3885,1243,Debit (Prepaid)
2327,1976,Debit
4847,1976,Debit (Prepaid)
4338,1976,Debit
1171,1976,Debit
502,1976,Debit
2784,91,Credit
2790,1606,Debit
2735,1201,Debit
16,1201,Debit
4793,1201,Debit
2744,1201,Debit
503,1887,Credit
504,1887,Credit
505,195,Debit
1442,195,Credit
1528,874,Debit
786,874,Credit
506,874,Credit
5790,1317,Debit
3576,1317,Credit
4909,1317,Debit
1529,1317,Credit
1280,1311,Credit
1530,785,Debit (Prepaid)
507,785,Credit
2638,662,Debit
3092,662,Debit (Prepaid)
5107,847,Debit (Prepaid)
3416,847,Credit
5581,847,Credit
987,847,Debit (Prepaid)
5998,847,Debit
4531,847,Credit
1531,685,Debit
1398,685,Credit
1532,685,Debit
1533,685,Credit
1534,685,Debit
508,685,Debit
2354,617,Debit
1810,23,Debit (Prepaid)
787,339,Credit
1811,339,Debit
1062,280,Credit
5856,280,Debit
2959,280,Credit
123,280,Credit
2826,280,Debit
4404,1473,Debit
3839,1473,Debit
1535,1473,Debit
5108,65,Debit
4585,65,Debit
788,1353,Debit
3156,1353,Debit
1536,1353,Debit (Prepaid)
4200,1353,Debit
1812,1353,Debit
3725,1353,Credit
966,1353,Debit
1537,736,Credit
509,736,Debit (Prepaid)
510,736,Debit (Prepaid)
4482,1670,Debit
3304,1670,Credit
5809,1670,Debit
5603,1670,Debit
511,1776,Debit
4938,1776,Credit
3596,1776,Credit
1813,1474,Debit
2032,951,Debit (Prepaid)
2942,951,Credit
2628,951,Credit
3330,951,Debit
3418,1818,Debit
2259,1818,Debit
4711,1818,Debit
1814,1450,Debit
512,1524,Debit
367,1789,Debit
5130,1789,Debit
5911,767,Debit
513,767,Debit (Prepaid)
2111,767,Debit
514,678,Debit
3577,678,Debit
3040,678,Credit
1300,678,Credit
960,471,Debit
4415,471,Credit
5402,471,Debit
3048,757,Debit
4175,757,Debit
5458,757,Debit
3947,757,Debit
515,1724,Debit
5337,1724,Debit
1399,1724,Credit
1313,1603,Debit
2138,1603,Credit
2381,1603,Credit
5981,1603,Debit (Prepaid)
1815,224,Debit
1538,808,Debit
3969,808,Debit
3516,808,Debit
5427,1326,Debit
5561,1326,Debit
5212,158,Debit
516,158,Debit
5722,1928,Credit
2434,1928,Credit
2442,1928,Debit (Prepaid)
4493,1928,Debit
2112,1575,Debit
3635,1575,Debit (Prepaid)
224,1575,Debit
5582,1575,Debit
1539,1608,Debit
5843,1455,Credit
1386,1455,Credit
789,1455,Credit
2960,1455,Debit
997,1916,Debit
4863,1916,Debit
5077,1916,Debit
2395,1916,Credit
3305,1916,Debit (Prepaid)
2856,1916,Debit
3258,1916,Credit
157,1617,Debit
517,143,Debit (Prepaid)
1540,143,Debit
1541,143,Debit
5003,1176,Debit
2712,1176,Credit
2629,1176,Credit
5270,1194,Debit
3644,1194,Debit
5999,1194,Debit
4614,1194,Credit
393,423,Credit
1542,423,Debit
2724,580,Debit
5109,580,Debit
2961,580,Credit
303,4,Debit
5391,4,Debit
1083,4,Debit
3413,4,Credit
4201,4,Debit
3344,530,Debit
5110,530,Debit
4848,530,Debit
4926,530,Debit
3145,530,Debit
4021,530,Debit
5779,1826,Debit (Prepaid)
4666,595,Debit
3049,595,Debit
4667,595,Debit
2128,595,Debit
4423,1022,Credit
2504,1022,Credit
5148,1022,Debit
518,1108,Credit
790,1108,Debit
2525,246,Credit
1158,246,Debit
3400,246,Credit
6075,246,Debit
519,270,Debit (Prepaid)
1543,270,Debit
1816,270,Debit
520,270,Debit
5626,1945,Credit
3381,1945,Debit
4018,1945,Credit
3614,1945,Debit
3763,1540,Debit
3496,1540,Credit
5562,1540,Debit (Prepaid)
394,1149,Credit
521,1438,Debit
3077,409,Debit
4007,409,Debit
5690,409,Debit
1817,694,Debit (Prepaid)
5583,694,Debit
2371,382,Debit
5415,382,Debit
2103,382,Credit
5324,629,Debit
5523,629,Debit (Prepaid)
2560,629,Debit
4712,629,Debit
124,629,Credit
5392,1211,Debit
2400,1211,Credit
3721,1211,Debit
5563,1211,Debit
5524,823,Debit
2868,823,Credit
1400,1304,Credit
426,1304,Credit
791,1304,Credit
2639,89,Debit
5584,89,Debit
2998,89,Debit
2640,89,Debit
1544,1751,Credit
792,1751,Debit
5377,888,Debit
4668,81,Credit
2897,81,Debit (Prepaid)
96,81,Credit
4525,81,Credit
2962,81,Debit
793,1021,Debit
522,1021,Debit (Prepaid)
3112,826,Credit
311,826,Debit
69,826,Credit
4966,87,Debit (Prepaid)
3607,87,Debit
109,87,Credit
6118,1833,Debit
1545,1833,Debit (Prepaid)
2345,1833,Debit
1818,1833,Credit
794,1833,Debit
395,829,Credit
523,829,Debit
3636,829,Credit
3840,1879,Debit
5399,1879,Credit
4560,236,Debit
1546,1619,Credit
1443,1619,Credit
5111,1619,Credit
3015,1619,Debit
1547,1146,Debit
1548,1146,Debit
1549,1146,Debit
1172,803,Debit (Prepaid)
3222,803,Credit
4882,803,Debit
524,193,Debit (Prepaid)
297,1686,Debit
2617,1686,Credit
2999,1686,Credit
89,1959,Credit
1281,1342,Debit (Prepaid)
2070,1371,Credit
2328,1371,Credit
3117,1371,Debit
4059,1371,Debit (Prepaid)
4446,1371,Debit
3929,1371,Debit
4387,1067,Credit
1063,1067,Credit
3382,1067,Debit
3016,1067,Credit
1819,1067,Debit
